planner,pair,samples,seed,success,time_s,len_m,ratio_vs_astar,min_clear_m,frac_unknown,n_occ_hits,error
repo_ompl,3,2000,3,1,0.0502,7.66,0.953,0.0,0.514,7,
repo_ompl,3,4000,1,1,0.1043,7.576,0.943,0.0,0.564,4,
repo_ompl,3,4000,2,1,0.0861,8.472,1.055,0.0,0.738,6,
repo_ompl,3,4000,3,1,0.0819,7.865,0.979,0.0,0.178,12,
custom_strict,4,250,1,1,0.0119,6.727,0.957,0.07,0.0,0,
custom_inflated,4,250,1,1,0.0102,6.843,0.95,0.22,0.0,0,
custom_strict,4,250,2,1,0.0118,6.642,0.945,0.15,0.0,0,
custom_inflated,4,250,2,1,0.0101,6.995,0.971,0.27,0.0,0,
custom_strict,4,250,3,1,0.0113,6.625,0.943,0.05,0.0,0,
custom_inflated,4,250,3,1,0.0097,6.968,0.967,0.25,0.0,0,
custom_strict,4,250,4,1,0.0109,6.72,0.956,0.11,0.0,0,
custom_inflated,4,250,4,1,0.0094,6.842,0.95,0.3,0.0,0,
custom_strict,4,250,5,1,0.0115,6.639,0.945,0.05,0.0,0,
custom_inflated,4,250,5,1,0.0101,7.004,0.972,0.25,0.0,0,
custom_strict,4,500,1,1,0.0161,6.561,0.934,0.05,0.0,0,
custom_inflated,4,500,1,1,0.0132,6.887,0.956,0.26,0.0,0,
custom_strict,4,500,2,1,0.0152,6.655,0.947,0.1,0.0,0,
custom_inflated,4,500,2,1,0.013,7.069,0.981,0.32,0.0,0,
custom_strict,4,500,3,1,0.0157,6.876,0.978,0.16,0.0,0,
custom_inflated,4,500,3,1,0.0133,6.849,0.951,0.29,0.0,0,
custom_strict,4,500,4,1,0.015,6.67,0.949,0.1,0.0,0,
custom_inflated,4,500,4,1,0.0129,6.792,0.943,0.22,0.0,0,
custom_strict,4,500,5,1,0.016,6.524,0.928,0.05,0.0,0,
custom_inflated,4,500,5,1,0.0128,6.822,0.947,0.25,0.0,0,
custom_strict,4,1000,1,1,0.0228,6.543,0.931,0.1,0.0,0,
custom_inflated,4,1000,1,1,0.0183,6.949,0.965,0.27,0.0,0,
custom_strict,4,1000,2,1,0.0218,6.778,0.964,0.16,0.0,0,
custom_inflated,4,1000,2,1,0.0181,6.933,0.962,0.25,0.0,0,
custom_strict,4,1000,3,1,0.0229,6.961,0.99,0.14,0.0,0,
custom_inflated,4,1000,3,1,0.0186,6.896,0.957,0.22,0.0,0,
custom_strict,4,1000,4,1,0.0229,6.58,0.936,0.11,0.0,0,
custom_inflated,4,1000,4,1,0.0189,6.881,0.955,0.25,0.0,0,
custom_strict,4,1000,5,1,0.0229,6.671,0.949,0.1,0.0,0,
custom_inflated,4,1000,5,1,0.0186,6.808,0.945,0.21,0.0,0,
custom_strict,4,2000,1,1,0.0339,6.547,0.932,0.05,0.0,0,
custom_inflated,4,2000,1,1,0.0272,6.734,0.935,0.25,0.0,0,
custom_strict,4,2000,2,1,0.0343,6.589,0.937,0.05,0.0,0,
